id,orientacion_politica,polarizacion,genero,edad,religiosidad,fork,pais,conservador/liberal,nivel educativo
101,61.5,80.75,masc,42,0,8,Mexico,47.13825193114774,2.0
102,39.16666666666667,93.75,masc,43,76,8,Mexico,39.5961316221641,1.0
103,49.9,78.25,fem,37,20,7,Mexico,37.71060154491819,2.0
104,41.5,89.75,masc,51,13,8,Mexico,51.68901863517636,2.0
105,52.83333333333333,64.75,fem,43,67,7,Mexico,63.936873065695025,1.0
106,49.1,71.75,masc,53,0,7,Mexico,32.05401131318046,2.0
108,14.166666666666664,74.25,fem,47,10,8,Mexico,26.397421081442733,2.0
109,26.299999999999997,62.25,masc,36,0,7,Mexico,39.5961316221641,2.0
111,39.25,71.5,masc,28,22,7,Mexico,33.93954139042637,1.0
113,28.466666666666665,68.5,fem,31,60,7,Mexico,59.85425492218881,2.0
116,72.5,98.75,masc,40,34,8,Mexico,0.0,2.0
117,17.96666666666667,96.75,masc,50,0,7,Mexico,33.93954139042637,2.0
119,34.5,70.0,masc,52,87,7,Mexico,70.06080028095437,1.0
120,54.0,63.5,masc,29,45,7,Mexico,55.09120042143155,1.0
121,35.625,63.75,masc,64,51,7,Mexico,61.89556399394192,1.0
123,48.43333333333334,87.75,masc,56,0,7,Mexico,0.0,1.0
126,41.75,52.0,masc,53,4,7,Mexico,62.57600035119296,2.0
127,29.76666666666667,72.25,fem,50,0,8,Mexico,47.13825193114774,2.0
128,66.9,70.25,masc,40,0,7,Mexico,39.5961316221641,2.0
130,40.06666666666666,33.5,masc,43,5,8,Mexico,32.05401131318046,2.0
132,49.625,59.75,masc,32,22,7,Mexico,45.25272185390183,2.0
134,60.375,74.75,masc,31,0,8,Mexico,33.93954139042637,1.0
135,39.75,95.5,masc,38,33,7,Mexico,69.38036392370333,2.0
136,12.466666666666669,88.0,masc,65,0,7,Mexico,30.168481235934554,2.0
140,41.625,54.25,masc,31,2,7,Mexico,37.71060154491819,1.0
146,61.8,60.0,fem,46,100,8,Mexico,43.36719177665592,2.0
147,33.06666666666666,68.5,masc,34,2,7,Mexico,22.626360926950916,2.0
148,58.766666666666666,53.75,masc,53,0,8,Mexico,45.25272185390183,2.0
149,45.25,48.5,fem,30,10,7,Mexico,24.511891004196826,2.0
150,43.06666666666666,38.5,masc,46,46,7,Mexico,59.85425492218881,2.0
151,32.53333333333333,74.5,masc,56,0,7,Mexico,0.0,2.0
153,20.5,83.5,masc,50,65,7,Mexico,20.740830849705006,2.0
154,48.625,90.75,masc,36,70,7,Mexico,81.628218354222,2.0
156,65.875,84.25,masc,30,52,7,Mexico,0.0,2.0
157,42.06666666666666,83.5,fem,55,0,7,Mexico,0.0,1.0
160,27.75,69.5,fem,33,45,8,Mexico,59.85425492218881,2.0
161,66.33333333333333,53.0,masc,47,59,8,Mexico,71.42167299545643,1.0
166,55.375,73.75,masc,30,0,7,Mexico,24.511891004196826,2.0
168,50.625,87.25,masc,62,73,7,Mexico,83.6695274259751,1.0
169,71.5,48.5,fem,32,13,7,Mexico,26.397421081442733,2.0
170,50.233333333333334,26.75,masc,46,79,7,Mexico,74.14341842446059,2.0
171,45.3,55.25,masc,24,0,7,Mexico,0.0,1.0
174,60.625,91.75,fem,34,42,8,Mexico,22.626360926950916,2.0
175,56.63333333333333,81.75,masc,38,86,7,Mexico,0.0,0.0
176,59.2,67.5,masc,54,26,8,Mexico,0.0,2.0
177,18.0,88.0,fem,43,62,8,Mexico,53.73032770692947,0.0
178,32.06666666666666,39.0,masc,44,14,7,Mexico,13.198710540721367,2.0
179,53.375,39.75,masc,30,18,7,Mexico,33.93954139042637,2.0
180,45.9,61.75,fem,28,29,7,Mexico,54.41076406418051,1.0
185,48.766666666666666,80.25,fem,47,0,7,Mexico,24.511891004196826,2.0
186,53.875,92.25,masc,52,87,7,Mexico,68.01949120920125,1.0
187,44.375,55.25,fem,44,74,7,Mexico,18.855300772459096,2.0
189,26.233333333333334,76.25,masc,36,0,7,Mexico,70.74123663820541,2.0
190,46.5,93.0,masc,30,17,7,Mexico,0.0,1.0
192,41.53333333333333,74.5,fem,60,72,7,Mexico,56.45207313593362,0.0
193,73.5,64.5,masc,37,26,7,Mexico,39.5961316221641,1.0
194,30.75,78.0,masc,35,85,8,Mexico,57.132509493184656,1.0
196,76.58333333333333,76.75,masc,25,0,7,Mexico,0.0,1.0
199,79.0,72.5,fem,38,26,8,Mexico,55.09120042143155,2.0
200,53.0,94.5,fem,40,19,8,Mexico,33.93954139042637,1.0
202,39.56666666666666,46.75,fem,39,72,7,Mexico,74.14341842446059,2.0
203,42.6,93.5,masc,55,79,7,Mexico,35.82507146767228,2.0
205,56.6,83.5,fem,51,20,8,Mexico,35.82507146767228,2.0
212,19.4,78.5,fem,51,59,7,Mexico,45.25272185390183,0.0
213,19.36666666666667,93.25,masc,40,0,7,Mexico,51.68901863517636,2.0
214,30.166666666666664,84.75,fem,38,61,8,Mexico,16.969770695213185,2.0
215,42.43333333333334,77.75,masc,28,0,7,Mexico,37.71060154491819,1.0
216,37.5,100.0,masc,41,57,7,Mexico,57.132509493184656,1.0
217,42.25,81.5,masc,23,0,7,Mexico,0.0,1.0
220,68.125,55.25,fem,46,0,7,Mexico,13.198710540721367,2.0
221,53.333333333333336,100.0,masc,44,0,7,Mexico,51.00858227792533,2.0
224,62.5,100.0,masc,42,1,7,Mexico,35.82507146767228,2.0
225,78.43333333333334,63.25,masc,58,0,7,Mexico,37.71060154491819,2.0
231,67.0,54.0,masc,28,56,7,Mexico,24.511891004196826,2.0
234,47.2,98.0,masc,45,49,7,Mexico,0.0,1.0
237,44.625,64.25,masc,23,15,7,Mexico,53.04989134967843,1.0
242,33.733333333333334,85.5,masc,45,3,7,Mexico,55.771636778682584,1.0
243,45.5,55.25,masc,43,22,7,Mexico,51.00858227792533,2.0
245,41.93333333333334,59.5,fem,27,34,7,Mexico,66.65861849469918,1.0
276,32.46666666666667,82.0,fem,39,73,7,Mexico,41.48166169941001,1.0
295,70.36666666666667,77.25,masc,21,100,7,Mexico,0.0,1.0
297,51.16666666666667,85.75,fem,36,29,8,Mexico,33.93954139042637,2.0
306,63.125,85.75,fem,19,0,7,Mexico,0.0,0.0
315,50.0,100.0,fem,39,22,7,Mexico,0.0,1.0
332,40.375,73.75,masc,34,0,8,Mexico,43.36719177665592,2.0
338,64.9,87.75,fem,37,0,7,Mexico,0.0,1.0
342,34.66666666666667,77.5,masc,30,6,7,Mexico,63.936873065695025,1.0
343,36.3,65.75,fem,25,74,7,Mexico,55.09120042143155,1.0
346,57.5,93.75,masc,28,0,7,Mexico,61.21512763669088,1.0
347,61.875,78.25,fem,24,0,7,Mexico,0.0,1.0
354,42.083333333333336,85.25,masc,34,41,7,Mexico,74.14341842446059,2.0
355,44.8,54.0,fem,37,0,7,Mexico,22.626360926950916,2.0
356,30.125,66.75,fem,25,0,7,Mexico,0.0,1.0
357,19.466666666666665,65.0,masc,60,7,8,Mexico,51.00858227792533,2.0
359,48.5,42.75,fem,28,0,7,Mexico,20.740830849705006,2.0
361,40.2,62.0,fem,51,90,7,Mexico,74.14341842446059,1.0
374,38.83333333333333,73.25,masc,46,57,8,Mexico,70.06080028095437,2.0
376,50.8,76.5,fem,32,14,8,Mexico,39.5961316221641,2.0
384,68.66666666666666,64.5,fem,22,0,7,Mexico,0.0,1.0
385,65.5,59.5,fem,27,12,7,Mexico,0.0,2.0
395,42.333333333333336,91.5,fem,43,0,7,Mexico,0.0,2.0
396,47.46666666666667,64.5,fem,40,57,8,Mexico,61.21512763669088,2.0
401,17.299999999999997,82.25,fem,38,3,7,Mexico,58.493382207686736,2.0
403,25.166666666666664,54.0,masc,40,10,8,Mexico,33.93954139042637,2.0
404,47.766666666666666,74.75,masc,30,100,8,Mexico,0.0,1.0
406,29.75,84.5,masc,23,89,7,Mexico,100.0,1.0
407,46.93333333333334,61.0,fem,27,53,7,Mexico,39.5961316221641,1.0
409,51.375,57.25,masc,34,0,7,Mexico,0.0,2.0
411,39.5,85.25,fem,33,51,7,Mexico,24.511891004196826,2.0
413,28.566666666666663,77.25,masc,37,0,7,Mexico,22.626360926950916,1.0
416,21.625,85.75,masc,47,100,7,Mexico,68.69992756645229,2.0
417,42.83333333333333,78.25,fem,39,45,7,Mexico,61.21512763669088,1.0
418,42.5,72.5,masc,49,0,7,Mexico,20.740830849705006,2.0
419,50.0,100.0,fem,42,51,8,Mexico,7.542120308983638,1.0
421,50.6,82.5,masc,38,77,7,Mexico,9.427650386229548,1.0
424,54.375,66.25,fem,37,83,7,Mexico,68.69992756645229,2.0
427,77.36666666666667,67.75,masc,36,11,7,Mexico,39.5961316221641,2.0
435,40.25,57.0,masc,33,0,7,Mexico,52.36945499242739,2.0
436,22.25,79.0,masc,50,62,8,Mexico,75.50429113896266,1.0
438,26.433333333333337,60.25,masc,65,23,7,Mexico,24.511891004196826,2.0
440,42.53333333333334,71.0,masc,27,0,8,Mexico,55.771636778682584,1.0
443,35.25,76.5,masc,32,7,7,Mexico,15.084240617967277,2.0
444,57.666666666666664,64.0,masc,27,9,7,Mexico,51.68901863517636,2.0
445,54.875,60.25,fem,26,69,7,Mexico,73.46298206720955,1.0
446,45.375,76.75,fem,32,19,7,Mexico,61.89556399394192,2.0
450,58.8,71.5,fem,30,0,7,Mexico,52.36945499242739,1.0
451,38.83333333333333,70.75,fem,26,36,8,Mexico,26.397421081442733,1.0
452,32.25,83.5,fem,36,0,7,Mexico,0.0,2.0
453,27.433333333333337,79.75,masc,45,17,7,Mexico,49.02378200839365,2.0
457,26.6,88.0,masc,33,11,7,Mexico,43.36719177665592,2.0
459,36.666666666666664,100.0,masc,52,67,7,Mexico,0.0,1.0
460,43.625,74.25,masc,47,0,7,Mexico,0.0,2.0
461,14.75,70.5,fem,31,54,7,Mexico,47.13825193114774,2.0
462,53.06666666666666,58.0,masc,31,0,7,Mexico,32.05401131318046,2.0
463,46.125,44.25,fem,32,45,7,Mexico,55.771636778682584,1.0
465,55.375,70.75,masc,38,61,7,Mexico,0.0,2.0
467,50.86666666666667,70.5,fem,42,0,8,Mexico,15.084240617967277,2.0
468,33.875,73.25,fem,38,5,7,Mexico,74.14341842446059,1.0
470,43.625,63.25,masc,30,19,8,Mexico,65.2977457801971,2.0
471,67.36666666666667,77.75,masc,55,28,7,Mexico,0.0,2.0
472,29.366666666666664,95.75,fem,69,32,7,Mexico,49.02378200839365,1.0
473,33.375,73.25,fem,55,67,7,Mexico,55.771636778682584,2.0
474,60.75,47.5,masc,36,14,7,Mexico,59.17381856493777,2.0
476,15.433333333333337,83.25,masc,26,73,8,Mexico,57.132509493184656,1.0
479,49.875,11.75,fem,31,37,7,Mexico,61.21512763669088,2.0
480,51.233333333333334,78.25,fem,51,69,7,Mexico,16.969770695213185,2.0
484,47.625,62.25,masc,58,65,7,Mexico,0.0,2.0
486,50.56666666666666,79.75,fem,30,80,7,Mexico,55.09120042143155,1.0
490,60.0,74.0,fem,39,0,7,Mexico,39.5961316221641,1.0
492,44.5,39.0,fem,36,29,7,Mexico,52.36945499242739,2.0
497,40.06666666666666,74.5,fem,50,71,7,Mexico,53.73032770692947,1.0
501,40.625,41.75,masc,40,33,7,Mexico,32.05401131318046,1.0
502,58.7,44.25,masc,30,4,8,Mexico,0.0,2.0
505,50.25,92.5,fem,33,93,7,Mexico,7.542120308983638,2.0
506,48.375,67.75,fem,28,13,7,Mexico,0.0,1.0
512,42.16666666666667,54.25,masc,36,28,8,Mexico,52.36945499242739,2.0
515,54.86666666666667,81.0,masc,50,84,7,Mexico,0.0,2.0
517,28.299999999999997,76.75,masc,46,83,8,Mexico,0.0,2.0
519,72.0,94.0,masc,33,38,7,Mexico,33.93954139042637,2.0
520,13.75,97.5,fem,65,15,7,Mexico,0.0,0.0
521,38.6,66.0,fem,30,49,8,Mexico,52.36945499242739,1.0
524,45.13333333333333,73.5,masc,56,25,8,Mexico,0.0,1.0
525,43.125,66.25,masc,38,0,7,Mexico,33.93954139042637,1.0
527,65.5,75.0,masc,44,13,7,Mexico,0.0,2.0
532,66.56666666666666,56.75,masc,24,0,8,Mexico,49.02378200839365,1.0
533,47.233333333333334,68.25,masc,28,72,7,Mexico,45.25272185390183,2.0
534,52.1,72.75,masc,44,0,7,Mexico,0.0,2.0
538,33.16666666666667,68.75,masc,62,0,7,Mexico,22.626360926950916,2.0
539,38.06666666666666,82.0,masc,36,11,7,Mexico,88.43258192673237,2.0
543,53.93333333333334,57.5,fem,39,56,7,Mexico,63.25643670844399,2.0
547,58.5,80.0,fem,70,15,7,Mexico,0.0,0.0
549,46.666666666666664,100.0,masc,66,100,7,Mexico,47.13825193114774,1.0
550,71.8,61.5,fem,23,80,7,Mexico,0.0,1.0
551,43.75,87.5,fem,31,0,7,Mexico,0.0,2.0
552,39.625,60.25,fem,39,72,7,Mexico,61.89556399394192,2.0
559,58.03333333333334,80.75,masc,55,39,7,Mexico,0.0,1.0
560,18.200000000000003,77.5,fem,63,18,8,Mexico,61.89556399394192,2.0
563,24.966666666666665,81.75,fem,36,77,7,Mexico,68.69992756645229,2.0
564,34.93333333333334,64.5,fem,33,90,7,Mexico,51.00858227792533,2.0
566,48.8,83.5,masc,30,8,7,Mexico,80.94778199697096,1.0
571,57.25,89.5,masc,27,0,7,Mexico,43.36719177665592,2.0
572,27.5,86.5,fem,29,10,7,Mexico,49.02378200839365,0.0
576,48.125,69.25,fem,44,31,7,Mexico,60.53469127943984,2.0
580,49.0,68.0,masc,51,41,7,Mexico,32.05401131318046,1.0
581,59.0,55.0,masc,35,8,7,Mexico,0.0,2.0
583,57.625,76.75,masc,22,20,8,Mexico,0.0,1.0
587,36.0,61.5,fem,58,0,7,Mexico,0.0,2.0
589,36.5,89.75,masc,34,0,7,Mexico,0.0,1.0
592,53.96666666666667,59.25,masc,49,100,7,Mexico,35.82507146767228,1.0
593,44.3,74.75,fem,29,36,7,Mexico,51.68901863517636,1.0
600,44.2,70.5,fem,46,0,7,Mexico,18.855300772459096,2.0
601,55.43333333333334,42.25,masc,29,0,7,Mexico,57.812945850435696,2.0
602,49.733333333333334,77.5,masc,28,31,7,Mexico,68.01949120920125,2.0
605,58.0,83.0,fem,36,83,8,Mexico,0.0,2.0
611,48.625,60.75,fem,33,68,7,Mexico,58.493382207686736,2.0
613,53.33333333333333,100.0,fem,55,100,7,Mexico,100.0,1.0
614,68.13333333333334,64.5,fem,70,12,7,Mexico,100.0,1.0
615,81.2,78.0,masc,32,10,8,Mexico,22.626360926950916,2.0
617,48.0,51.5,fem,29,15,8,Mexico,20.740830849705006,1.0
618,38.125,51.75,fem,67,9,7,Mexico,35.82507146767228,2.0
623,53.375,81.25,fem,64,100,7,Mexico,0.0,1.0
624,58.0,64.0,fem,54,0,7,Mexico,28.282951158688643,2.0
627,28.2,84.5,masc,18,70,7,Mexico,96.59781821374482,0.0
631,48.43333333333334,79.75,masc,55,51,8,Mexico,0.0,1.0
632,48.0,75.0,fem,47,79,7,Mexico,47.13825193114774,1.0
633,45.63333333333333,84.75,masc,54,65,7,Mexico,0.0,1.0
636,41.633333333333326,79.75,masc,40,0,7,Mexico,0.0,2.0
638,22.5,86.0,masc,50,0,8,Mexico,58.493382207686736,2.0
640,53.625,82.25,masc,28,0,7,Mexico,67.33905485195021,1.0
641,25.933333333333337,74.0,masc,48,56,7,Mexico,0.0,2.0
645,47.0,66.0,masc,19,0,7,Mexico,0.0,1.0
650,30.666666666666668,70.0,fem,52,65,7,Mexico,0.0,1.0
654,42.2,42.0,masc,42,15,8,Mexico,37.71060154491819,1.0
655,25.2,87.0,masc,31,0,7,Mexico,0.0,1.0
657,53.25,61.0,fem,29,61,7,Mexico,60.53469127943984,2.0
659,45.625,83.75,fem,69,0,7,Mexico,0.0,2.0
660,58.5,80.75,fem,47,65,7,Mexico,58.493382207686736,2.0
664,38.91666666666667,97.25,fem,31,0,7,Mexico,65.97818213744814,1.0
673,50.5,37.0,masc,28,0,7,Mexico,37.71060154491819,2.0
676,30.875,43.75,masc,29,16,7,Mexico,55.771636778682584,1.0
678,33.9,69.25,masc,40,62,7,Mexico,79.58690928246888,1.0
679,84.7,70.75,masc,22,4,7,Mexico,3.771060154491819,1.0
682,28.466666666666665,85.5,masc,41,0,7,Mexico,59.85425492218881,2.0
683,53.06666666666666,48.5,fem,32,26,7,Mexico,53.73032770692947,2.0
688,61.375,64.25,fem,32,4,7,Mexico,11.313180463475458,2.0
690,76.125,57.25,fem,54,0,7,Mexico,0.0,1.0
694,57.266666666666666,85.5,masc,44,88,7,Mexico,47.13825193114774,2.0
695,49.75,73.5,masc,30,15,7,Mexico,53.04989134967843,1.0
697,64.63333333333334,33.75,masc,20,32,7,Mexico,52.36945499242739,1.0
699,20.0,100.0,masc,39,26,7,Mexico,59.17381856493777,1.0
707,55.766666666666666,77.25,fem,32,66,7,Mexico,11.313180463475458,2.0
708,47.13333333333333,58.5,fem,38,0,7,Mexico,43.36719177665592,1.0
712,54.875,63.25,masc,28,14,7,Mexico,20.740830849705006,1.0
714,16.583333333333336,99.75,fem,46,49,7,Mexico,100.0,2.0
716,31.63333333333333,67.75,masc,26,64,7,Mexico,67.33905485195021,1.0
717,33.875,62.75,masc,58,0,7,Mexico,20.740830849705006,2.0
721,65.03333333333333,43.25,fem,45,81,7,Mexico,51.00858227792533,1.0
722,26.125,77.75,fem,26,90,7,Mexico,58.493382207686736,1.0
724,49.5,73.0,masc,30,0,7,Mexico,0.0,2.0
725,53.125,80.25,masc,40,62,7,Mexico,76.1847274962137,2.0
730,25.0,100.0,fem,46,100,7,Mexico,0.0,1.0
731,62.91666666666667,63.25,masc,29,64,7,Mexico,57.132509493184656,1.0
733,47.16666666666667,34.75,masc,48,41,8,Mexico,59.17381856493777,2.0
734,42.875,54.25,fem,23,18,7,Mexico,43.36719177665592,1.0
740,36.125,89.25,fem,25,38,7,Mexico,54.41076406418051,2.0
741,29.6,83.0,fem,40,0,7,Mexico,47.13825193114774,1.0
742,50.75,74.0,masc,26,16,7,Mexico,45.25272185390183,2.0
743,40.93333333333334,66.5,fem,33,23,7,Mexico,41.48166169941001,2.0
744,46.125,92.25,masc,32,0,7,Mexico,100.0,2.0
750,42.03333333333333,56.75,fem,30,15,7,Mexico,37.71060154491819,2.0
751,35.46666666666667,66.0,masc,28,0,7,Mexico,63.936873065695025,2.0
753,64.0,73.0,masc,38,0,8,Mexico,13.198710540721367,1.0
757,15.875,93.25,masc,62,22,7,Mexico,22.626360926950916,1.0
763,25.0,100.0,masc,45,100,7,Mexico,100.0,1.0
764,50.5,86.5,masc,20,80,7,Mexico,30.168481235934554,1.0
766,41.63333333333334,65.25,fem,45,81,7,Mexico,49.02378200839365,1.0
767,58.733333333333334,60.5,masc,26,7,7,Mexico,58.493382207686736,1.0
769,77.875,80.75,masc,27,72,7,Mexico,52.36945499242739,1.0
776,57.7,69.25,fem,63,0,8,Mexico,0.0,1.0
777,35.766666666666666,83.25,fem,33,86,7,Mexico,84.34996378322614,2.0
782,43.375,77.25,masc,40,0,7,Mexico,65.2977457801971,2.0
792,25.2,88.0,masc,33,0,7,Mexico,55.09120042143155,1.0
794,58.6,64.5,masc,24,13,7,Mexico,20.740830849705006,1.0
798,34.233333333333334,75.25,masc,24,86,7,Mexico,64.61730942294606,1.0
802,63.16666666666667,89.75,masc,32,0,7,Mexico,0.0,1.0
804,53.96666666666667,71.75,fem,20,62,7,Mexico,39.5961316221641,1.0
805,33.366666666666674,86.25,fem,50,93,7,Mexico,51.00858227792533,2.0
806,58.25,62.5,fem,19,0,7,Mexico,0.0,0.0
807,41.875,50.25,masc,35,66,7,Mexico,49.02378200839365,0.0
809,40.46666666666667,71.5,masc,57,0,8,Mexico,41.48166169941001,1.0
810,70.0,100.0,fem,64,100,7,Mexico,0.0,1.0
811,67.76666666666667,89.75,fem,38,0,7,Mexico,0.0,1.0
812,43.96666666666666,93.25,fem,39,0,7,Mexico,53.04989134967843,1.0
816,41.13333333333333,74.5,fem,56,66,7,Mexico,80.94778199697096,1.0
818,23.25,61.0,masc,25,49,7,Mexico,63.25643670844399,1.0
821,35.125,61.75,fem,22,0,7,Mexico,43.36719177665592,0.0
822,30.766666666666666,49.75,masc,23,8,7,Mexico,51.68901863517636,1.0
823,50.46666666666666,84.5,masc,52,57,7,Mexico,0.0,1.0
826,24.633333333333336,69.75,fem,33,86,7,Mexico,66.65861849469918,1.0
828,63.125,82.75,masc,36,73,7,Mexico,47.13825193114774,2.0
831,56.416666666666664,69.75,fem,38,19,7,Mexico,37.71060154491819,2.0
832,25.375,66.75,masc,48,48,8,Mexico,71.42167299545643,2.0
833,28.3,81.25,fem,46,100,7,Mexico,89.79345464123443,1.0
836,41.25,70.0,masc,46,0,7,Mexico,51.68901863517636,1.0
837,51.93333333333334,76.5,masc,37,12,7,Mexico,53.73032770692947,1.0
838,11.700000000000003,95.75,masc,41,0,7,Mexico,50.32814592067429,1.0
842,40.25,57.0,fem,34,56,7,Mexico,57.132509493184656,1.0
843,58.25,83.5,masc,28,0,7,Mexico,0.0,1.0
845,78.125,70.75,fem,23,0,7,Mexico,0.0,1.0
846,27.86666666666667,89.0,fem,44,28,7,Mexico,59.85425492218881,2.0
847,41.583333333333336,76.25,fem,39,56,7,Mexico,62.57600035119296,1.0
850,37.13333333333333,90.5,masc,52,32,8,Mexico,0.0,2.0
852,47.86666666666666,83.0,masc,31,20,7,Mexico,89.11301828398341,1.0
855,40.56666666666666,75.25,fem,28,17,7,Mexico,30.168481235934554,1.0
857,46.0,31.0,fem,26,0,7,Mexico,24.511891004196826,1.0
858,47.375,58.25,fem,22,0,7,Mexico,64.61730942294606,1.0
862,56.75,86.5,masc,21,77,8,Mexico,47.13825193114774,1.0
864,66.5,49.5,masc,46,0,7,Mexico,18.855300772459096,2.0
866,42.875,55.75,fem,33,32,7,Mexico,47.13825193114774,2.0
868,47.6,60.5,fem,30,67,7,Mexico,80.94778199697096,1.0
869,44.93333333333334,67.5,fem,57,100,7,Mexico,76.1847274962137,1.0
872,30.75,76.0,masc,20,23,7,Mexico,50.32814592067429,0.0
873,53.5,58.5,fem,39,18,7,Mexico,55.771636778682584,1.0
877,28.875,64.25,masc,32,23,7,Mexico,55.09120042143155,1.0
879,44.06666666666666,66.5,fem,59,0,7,Mexico,66.65861849469918,1.0
881,53.46666666666667,42.0,fem,54,76,8,Mexico,67.33905485195021,2.0
882,25.0,86.0,fem,47,89,7,Mexico,78.22603656796682,2.0
883,50.8,48.0,fem,41,97,8,Mexico,37.71060154491819,2.0
884,29.36666666666667,69.75,fem,30,71,7,Mexico,57.812945850435696,1.0
886,55.375,72.25,masc,45,40,7,Mexico,33.93954139042637,2.0
887,45.666666666666664,72.0,fem,20,16,8,Mexico,30.168481235934554,1.0
888,52.86666666666667,84.5,fem,53,66,7,Mexico,76.1847274962137,1.0
889,34.4,73.5,masc,26,35,7,Mexico,33.93954139042637,2.0
891,43.06666666666666,84.0,masc,59,66,7,Mexico,53.73032770692947,1.0
892,50.266666666666666,85.0,fem,65,78,8,Mexico,68.69992756645229,1.0
894,38.766666666666666,94.75,masc,40,11,7,Mexico,67.33905485195021,2.0
896,57.43333333333334,55.25,fem,37,0,7,Mexico,24.511891004196826,2.0
898,40.25,65.0,fem,42,44,8,Mexico,78.22603656796682,2.0
899,57.766666666666666,57.75,fem,54,81,7,Mexico,0.0,2.0
900,39.2,45.0,masc,25,0,7,Mexico,57.812945850435696,2.0
901,36.416666666666664,72.25,masc,27,18,7,Mexico,51.00858227792533,1.0
902,60.125,77.25,fem,29,0,7,Mexico,54.41076406418051,1.0
903,40.875,93.25,masc,36,0,7,Mexico,53.04989134967843,2.0
906,47.25,66.0,masc,42,35,7,Mexico,53.73032770692947,2.0
907,45.5,57.0,fem,31,7,7,Mexico,57.132509493184656,2.0
908,51.8,48.0,masc,30,0,7,Mexico,45.25272185390183,1.0
910,32.16666666666667,40.25,masc,27,33,7,Mexico,7.542120308983638,1.0
914,50.0,75.0,masc,30,5,7,Mexico,16.969770695213185,2.0
915,55.5,52.25,masc,29,0,7,Mexico,47.13825193114774,2.0
916,45.625,54.25,fem,31,55,7,Mexico,62.57600035119296,1.0
917,45.875,58.75,masc,32,45,7,Mexico,52.36945499242739,1.0
918,60.625,49.25,masc,35,91,7,Mexico,50.32814592067429,2.0
922,29.833333333333332,95.25,masc,31,74,7,Mexico,0.0,1.0
923,40.833333333333336,85.25,fem,58,13,7,Mexico,15.084240617967277,2.0
924,52.0,74.5,masc,32,30,7,Mexico,51.68901863517636,2.0
927,62.5,100.0,fem,53,100,7,Mexico,0.0,1.0
929,51.5,84.0,fem,25,0,7,Mexico,53.04989134967843,1.0
930,34.666666666666664,93.0,fem,59,23,8,Mexico,0.0,0.0
935,74.1,59.75,fem,45,35,7,Mexico,49.02378200839365,1.0
936,27.933333333333337,77.5,fem,31,100,7,Mexico,76.1847274962137,2.0
